ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"MAYNE PHARMA GROUP LIMITED","MYX","Pharmaceuticals, Biotechnology & Life Sciences"
"MB GOLD LIMITED","MBG","Materials"
"MC MINING LIMITED","MCM","Energy"
"MCLAREN MINERALS LIMITED","MML","Materials"
"MCMILLAN SHAKESPEARE LIMITED","MMS","Commercial & Professional Services"
"MCPHERSON'S LIMITED","MCP","Household & Personal Products"
"MCS SERVICES LIMITED","MSG","Commercial & Professional Services"
"MEC RESOURCES LIMITED","MMR","Energy"
"MEDALLION METALS LIMITED.","MM8","Materials"
"MEDALLION TRUST SERIES 2016-1","MZF","Not Applic"
"MEDALLION TRUST SERIES 2016-2","MZT","Not Applic"
"MEDALLION TRUST SERIES 2017-1","MZ1","Not Applic"
"MEDALLION TRUST SERIES 2017-2","MZ2","Not Applic"
"MEDIBANK PRIVATE LIMITED","MPL","Insurance"
"MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED","MVP","Pharmaceuticals, Biotechnology & Life Sciences"
"MEEKA METALS LIMITED","MEK","Materials"
"MEGADO MINERALS LTD","MEG","Materials"
"MEGAPORT LIMITED","MP1","Software & Services"
"MELBANA ENERGY LIMITED","MAY","Energy"
"MEMPHASYS LIMITED.","MEM","Pharmaceuticals, Biotechnology & Life Sciences"
"MERCURY NZ LIMITED","MCY","Utilities"
"MERIDIAN ENERGY LIMITED","MEZ","Utilities"
"MERINO & CO. LIMITED","MNC","Consumer Durables & Apparel"
"MESOBLAST LIMITED","MSB","Pharmaceuticals, Biotechnology & Life Sciences"
"METAL BANK LIMITED","MBK","Materials"
"METAL HAWK LIMITED.","MHK","Materials"
"METAL POWDER WORKS LIMITED","MPW","Capital Goods"
"METALLIUM LIMITED","MTM","Materials"
"METALS AUSTRALIA LTD","MLS","Materials"
"METALS X LIMITED","MLX","Materials"
"METALSGROVE MINING LTD","MGA","Materials"
"METALSTECH LIMITED","MTC","Materials"
"METCASH LIMITED","MTS","Consumer Staples Distribution & Retail"
"METEORIC RESOURCES NL","MEI","Materials"
"METGASCO LTD","MEL","Energy"
"METRICS INCOME OPPORTUNITIES TRUST","MOT","Not Applic"
"METRICS MASTER INCOME TRUST","MXT","Not Applic"
"METRICS REAL ESTATE MULTI-STRATEGY FUND","MRE","Not Applic"
"METRO FINANCE 2023-1 TRUST","MF3","Not Applic"
"METRO FINANCE 2023-2 TRUST","MF5","Not Applic"
"METRO FINANCE 2024-1 TRUST","MF4","Not Applic"
"METRO FINANCE 2025-1 TRUST","MF6","Not Applic"
"METRO MINING LIMITED","MMI","Materials"
"METRO PERFORMANCE GLASS LIMITED","MPP","Capital Goods"
"MFF CAPITAL INVESTMENTS LIMITED","MFF","Not Applic"
"MGX RESOURCES LIMITED","MGX","Materials"
"MICHAEL HILL INTERNATIONAL LIMITED","MHJ","Consumer Discretionary Distribution & Retail"
"MICRO-X LIMITED","MX1","Health Care Equipment & Services"
"MICROBA LIFE SCIENCES LIMITED","MAP","Health Care Equipment & Services"
"MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","MAM","Financial Services"
"MIDAS MINERALS LTD","MM1","Materials"
"MIDDLE ISLAND RESOURCES LIMITED","MDI","Materials"
"MINBOS RESOURCES LIMITED","MNB","Materials"
"MINDAX LIMITED","MDX","Materials"
"MINERAL COMMODITIES LTD","MRC","Materials"
"MINERAL RESOURCES LIMITED","MIN","Materials"
"MINERALS 260 LIMITED","MI6","Materials"
"MINERALS EXPLORATION LIMITED","MEX","Materials"
"MINREX RESOURCES LIMITED","MRR","Materials"
"MIRAMAR RESOURCES LIMITED","M2R","Materials"
"MIRRABOOKA INVESTMENTS LIMITED","MIR","Not Applic"
"MIRVAC GROUP","MGR","Equity Real Estate Investment Trusts (REITs)"
"MITCHELL SERVICES LIMITED","MSV","Materials"
"MITHRIL SILVER AND GOLD LIMITED","MTH","Materials"
"MLG OZ LIMITED","MLG","Materials"
"MME AUTOPAY ABS 2024-1 TRUST","MM2","Not Applic"
"MME PL 2025-1 TRUST","MM4","Not Applic"
"MOAB MINERALS LIMITED","MOM","Materials"
"MOHO RESOURCES LIMITED","MOH","Materials"
"MONADELPHOUS GROUP LIMITED","MND","Capital Goods"
"MONASH IVF GROUP LIMITED","MVF","Health Care Equipment & Services"
"MONEYME LIMITED","MME","Financial Services"
"MONT ROYAL RESOURCES LIMITED","MRZ","Materials"
"MOONLIGHT RESOURCES LTD","ML8","Materials"
"MORELLA CORPORATION LIMITED","1MC","Materials"
"MORPHIC ETHICAL EQUITIES FUND LIMITED","MEC","Financial Services"
"MOTIO LTD","MXO","Media & Entertainment"
"MOTORCYCLE HOLDINGS LIMITED","MTO","Consumer Discretionary Distribution & Retail"
"MOUNT HOPE MINING LIMITED","MHM","Materials"
"MOUNT RIDLEY MINES LIMITED","MRD","Materials"
"MOVE LOGISTICS GROUP LIMITED","MOV","Transportation"
"MPR AUSTRALIA LIMITED","MPR","Financial Services"
"MRG METALS LIMITED","MRQ","Materials"
"MT MALCOLM MINES NL","M2M","Materials"
"MULTISTACK INTERNATIONAL LIMITED","MSI","Capital Goods"
"MURRAY COD AUSTRALIA LIMITED","MCA","Food, Beverage & Tobacco"
"MUSTERA PROPERTY GROUP LIMITED","MPX","Real Estate Management & Development"
"MYECO GROUP LTD","MCO","Materials"
"MYER HOLDINGS LIMITED","MYR","Consumer Discretionary Distribution & Retail"
"MYSTATE LIMITED","MYS","Banks"
"N1 HOLDINGS LIMITED","N1H","Financial Services"
"NAGAMBIE RESOURCES LIMITED","NAG","Materials"
"NANOLLOSE LIMITED","NC6","Pharmaceuticals, Biotechnology & Life Sciences"
"NANOSONICS LIMITED","NAN","Health Care Equipment & Services"
"NANOVEU LIMITED","NVU","Technology Hardware & Equipment"
"NAOS EMERGING OPPORTUNITIES COMPANY LIMITED","NCC","Not Applic"
"NAOS EX-50 OPPORTUNITIES COMPANY LIMITED","NAC","Not Applic"
"NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED","NSC","Not Applic"
"NARRYER METALS LIMITED","NYM","Materials"
"NATIONAL AUSTRALIA BANK LIMITED","NAB","Banks"
"NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1","NRO","Not Applic"
"NATIONAL RMBS TRUST 2022-1 IN RESPECT OF SERIES 2022-1","NRP","Not Applic"
"NATIONAL RMBS TRUST 2024-1","RM1","Not Applic"
"NATIONAL STORAGE REIT","NSR","Equity Real Estate Investment Trusts (REITs)"
"NATIONWIDE BUILDING SOCIETY.","NBS","Not Applic"
"NATIVE MINERAL RESOURCES HOLDINGS LIMITED","NMR","Materials"
"NAVIGATOR GLOBAL INVESTMENTS LIMITED","NGI","Financial Services"
"NELSON RESOURCES LIMITED.","NES","Materials"
"NEOMETALS LTD","NMT","Materials"
"NETWEALTH GROUP LIMITED","NWL","Financial Services"
"NEUREN PHARMACEUTICALS LIMITED","NEU","Pharmaceuticals, Biotechnology & Life Sciences"
"NEURIZER LTD","NRZ","Materials"
"NEURIZON THERAPEUTICS LIMITED","NUZ","Pharmaceuticals, Biotechnology & Life Sciences"
"NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD","NSB","Pharmaceuticals, Biotechnology & Life Sciences"
"NEUROTECH INTERNATIONAL LIMITED","NTI","Health Care Equipment & Services"
"NEW AGE EXPLORATION LIMITED","NAE","Energy"
"NEW FRONTIER MINERALS LIMITED","NFM","Materials"
"NEW HOPE CORPORATION LIMITED","NHC","Energy"
"NEW MURCHISON GOLD LIMITED","NMG","Materials"
"NEW SOUTH WALES TREASURY CORPORATION","XNC","Not Applic"
"NEW ZEALAND KING SALMON INVESTMENTS LIMITED","NZK","Food, Beverage & Tobacco"
"NEWFIELD RESOURCES LIMITED","NWF","Materials"
"NEWMONT CORPORATION","NEM","Materials"
"NEWPEAK METALS LIMITED","NPM","Materials"
"NEWS CORPORATION..","NWS","Media & Entertainment"
"NEX METALS EXPLORATION LIMITED","NME","Materials"
"NEXALIS THERAPEUTICS LTD","NX1","Health Care Equipment & Services"
"NEXGEN ENERGY (CANADA) LTD","NXG","Energy"
"NEXION GROUP LTD","NNG","Software & Services"
"NEXSEN LIMITED","NXN","Pharmaceuticals, Biotechnology & Life Sciences"
"NEXTDC LIMITED","NXT","Software & Services"
"NEXTED GROUP LIMITED","NXD","Consumer Services"
"NEXUS MINERALS LIMITED","NXM","Materials"
"NGE CAPITAL LIMITED","NGE","Not Applic"
"NGX LIMITED","NGX","Materials"
"NH3 CLEAN ENERGY LIMITED","NH3","Materials"
"NIB HOLDINGS LIMITED","NHF","Insurance"
"NICK SCALI LIMITED","NCK","Consumer Discretionary Distribution & Retail"
"NICKEL INDUSTRIES LIMITED","NIC","Materials"
"NICO RESOURCES LIMITED","NC1","Materials"
"NIDO EDUCATION LIMITED","NDO","Consumer Services"
"NIMY RESOURCES LIMITED","NIM","Materials"
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC","Media & Entertainment"
"NOBLE HELIUM LIMITED","NHE","Energy"
"NOBLEOAK LIFE LIMITED","NOL","Insurance"
"NORDIC RESOURCES LTD","NNL","Materials"
"NORFOLK METALS LIMITED","NFL","Materials"
"NORONEX LIMITED","NRX","Materials"
"NORTH STAWELL MINERALS LTD","NSM","Materials"
"NORTHERN MINERALS LIMITED","NTU","Materials"
"NORTHERN STAR RESOURCES LTD","NST","Materials"
"NORWEST MINERALS LIMITED","NWM","Materials"
"NORWOOD SYSTEMS LIMITED","NOR","Software & Services"
"NOUMI LIMITED","NOU","Food, Beverage & Tobacco"
"NOVA EYE MEDICAL LIMITED","EYE","Health Care Equipment & Services"
"NOVA MINERALS LIMITED","NVA","Materials"
"NOVATTI GROUP LIMITED","NOV","Software & Services"
"NOVIQTECH LIMITED","NVQ","Software & Services"
"NOVO RESOURCES CORP.","NVO","Materials"
"NOVONIX LIMITED","NVX","Technology Hardware & Equipment"
"NOW TRUST 2024-1","NW1","Not Applic"
"NOXOPHARM LIMITED","NOX","Pharmaceuticals, Biotechnology & Life Sciences"
"NRW HOLDINGS LIMITED","NWH","Capital Goods"
"NT MINERALS LIMITED","NTM","Materials"
"NTAW HOLDINGS LIMITED","NTD","Consumer Discretionary Distribution & Retail"
"NUCHEV LIMITED","NUC","Food, Beverage & Tobacco"
"NUENERGY GAS LIMITED","NGY","Energy"
"NUFARM FINANCE (NZ) LIMITED","NFN","Not Applic"
"NUFARM LIMITED","NUF","Materials"
"NUIX LIMITED","NXL","Software & Services"
"NUTRITIONAL GROWTH SOLUTIONS LTD","NGS","Household & Personal Products"
"NYRADA INC.","NYR","Pharmaceuticals, Biotechnology & Life Sciences"
"NZME LIMITED","NZM","Media & Entertainment"
"OAKAJEE CORPORATION LIMITED","OKJ","Materials"
"OAKRIDGE INTERNATIONAL LIMITED","OAK","Software & Services"
"OBJECTIVE CORPORATION LIMITED","OCL","Software & Services"
"OCEANA METALS LIMITED","OCN","Materials"
"OCEANIA HEALTHCARE LIMITED","OCA","Health Care Equipment & Services"
"OCTAVA MINERALS LIMITED","OCT","Materials"
"OD6 METALS LIMITED","OD6","Materials"
"ODESSA MINERALS LIMITED","ODE","Materials"
"ODYSSEY GOLD LTD","ODY","Materials"
"OFX GROUP LIMITED","OFX","Financial Services"
"OLDFIELDS HOLDINGS LIMITED","OLH","Capital Goods"
"OLIVER'S REAL FOOD LIMITED","OLI","Consumer Services"
"OLYMPIO METALS LIMITED","OLY","Materials"
"OLYMPUS 2024-2 TRUST","OYS","Not Applic"
"OLYMPUS 2025-1 TRUST","OY1","Not Applic"
"OM HOLDINGS LIMITED","OMH","Materials"
"OMEGA OIL & GAS LIMITED","OMA","Energy"
"OMG GROUP LIMITED","OMG","Food, Beverage & Tobacco"
"OMNI BRIDGEWAY LIMITED","OBL","Financial Services"
"OMNIA METALS GROUP LTD","OM1","Materials"
"ONCOSIL MEDICAL LTD","OSL","Pharmaceuticals, Biotechnology & Life Sciences"
"ONE CLICK GROUP LIMITED","1CG","Capital Goods"
"ONEVIEW HEALTHCARE PLC","ONE","Health Care Equipment & Services"
"OOH!MEDIA LIMITED","OML","Media & Entertainment"
"OPENLEARNING LIMITED","OLL","Software & Services"
"OPENN NEGOTIATION LIMITED","OPN","Commercial & Professional Services"
"OPHIR HIGH CONVICTION FUND","OPH","Not Applic"
"OPTHEA LIMITED","OPT","Pharmaceuticals, Biotechnology & Life Sciences"
"OPTISCAN IMAGING LIMITED","OIL","Health Care Equipment & Services"
"ORA BANDA MINING LTD","OBM","Materials"
"ORANGE MINERALS NL","OMX","Materials"
"ORBITAL CORPORATION LIMITED","OEC","Capital Goods"
"ORBMINCO LIMITED","OB1","Materials"
"ORCODA LIMITED","ODA","Software & Services"
"ORDE SERIES 2025-1 TRUST","OR2","Not Applic"
"ORDELL MINERALS LIMITED","ORD","Materials"
"ORDINARY (UNLISTED/LISTED - COSACS)","ZOR","Not Applic"
"ORE RESOURCES LIMITED","OR3","Materials"
"OREZONE GOLD CORPORATION","ORE","Materials"
"ORICA LIMITED","ORI","Materials"
"ORIGIN ENERGY LIMITED","ORG","Utilities"
"ORION EQUITIES LIMITED","OEQ","Financial Services"
"ORION MINERALS LTD","ORN","Materials"
"ORORA LIMITED","ORA","Materials"
"ORPHEUS URANIUM LIMITED","ORP","Materials"
"ORTHOCELL LIMITED","OCC","Pharmaceuticals, Biotechnology & Life Sciences"
"OSMOND RESOURCES LIMITED","OSM","Materials"
"OSTEOPORE LIMITED","OSX","Health Care Equipment & Services"
"OTTO ENERGY LIMITED","OEL","Energy"
"OVANTI LIMITED","OVT","Media & Entertainment"
"OZAURUM RESOURCES LIMITED","OZM","Materials"
"OZZ RESOURCES LIMITED","OZZ","Materials"
"PACGOLD LIMITED","PGO","Materials"
"PACIFIC CURRENT GROUP LIMITED","PAC","Financial Services"
"PACIFIC EDGE LIMITED","PEB","Pharmaceuticals, Biotechnology & Life Sciences"
"PACIFIC LIME AND CEMENT LIMITED","PLA","Materials"
"PACIFIC NICKEL MINES LIMITED","PNM","Materials"
"PACIFIC RESOURCES LIMITED","PXR","Energy"
"PAINCHEK LTD","PCK","Health Care Equipment & Services"
"PALADIN ENERGY LTD","PDN","Energy"
"PANCONTINENTAL ENERGY NL","PCL","Energy"
"PANORAMA AUTO TRUST 2023-1","PA1","Not Applic"
"PANORAMA AUTO TRUST 2023-3","PA3","Not Applic"
"PANORAMA AUTO TRUST 2024-1","PA2","Not Applic"
"PANORAMA AUTO TRUST 2024-3","PA4","Not Applic"
"PANORAMA AUTO TRUST 2025-1","PA5","Not Applic"
"PANTERA MINERALS LIMITED","PFE","Materials"
"PANTHER METALS LTD","PNT","Materials"
"PANTORO GOLD LIMITED","PNR","Materials"
"PAPYRUS AUSTRALIA LIMITED","PPY","Materials"
"PARABELLUM RESOURCES LIMITED","PBL","Materials"
"PARADIGM BIOPHARMACEUTICALS LIMITED..","PAR","Pharmaceuticals, Biotechnology & Life Sciences"
"PARAGON CARE LIMITED","PGC","Health Care Equipment & Services"
"PARKD LTD","PKD","Commercial & Professional Services"
"PARKWAY CORPORATE LIMITED","PWN","Materials"
"PATAGONIA LITHIUM LTD","PL3","Materials"
"PATERSON RESOURCES LTD","PSL","Materials"
"PATHKEY.AI LTD","PKY","Software & Services"
"PATRIOT RESOURCES LIMITED","PAT","Materials"
"PATRONUS RESOURCES LIMITED","PTN","Materials"
"PATRYS LIMITED","PAB","Pharmaceuticals, Biotechnology & Life Sciences"
"PC GOLD LTD","PC2","Materials"
"PEAK PROCESSING LIMITED","PKP","Pharmaceuticals, Biotechnology & Life Sciences"
"PEAKO LIMITED","PKO","Materials"
"PEARL GULL IRON LIMITED","PLG","Materials"
"PEEL MINING LIMITED","PEX","Materials"
"PEET LIMITED","PPC","Real Estate Management & Development"
"PENGANA CAPITAL GROUP LIMITED","PCG","Financial Services"
"PENGANA GLOBAL PRIVATE CREDIT TRUST","PCX","Not Applic"
"PENGANA INTERNATIONAL EQUITIES LIMITED","PIA","Not Applic"
"PENGANA PRIVATE EQUITY TRUST","PE1","Not Applic"
"PENINSULA ENERGY LIMITED","PEN","Energy"
"PENTANET LIMITED","5GG","Telecommunication Services"
"PEOPLEIN LIMITED","PPE","Commercial & Professional Services"
"PEPPER MONEY LIMITED","PPM","Financial Services"
"PEPPER RESIDENTIAL SECURITIES TRUST NO. 39","PEP","Not Applic"
"PEPPER RESIDENTIAL SECURITIES TRUST NO. 40","PR4","Not Applic"
"PEPPER SPARKZ TRUST NO.6","PU6","Not Applic"
"PEPPER SPARKZ TRUST NO.8","PU8","Not Applic"
"PEPPER SPARKZ TRUST NO.9","PU9","Not Applic"
"PEPPERMINT INNOVATION LIMITED","PIL","Software & Services"
"PERCHERON THERAPEUTICS LIMITED","PER","Pharmaceuticals, Biotechnology & Life Sciences"
"PEREGRINE GOLD LTD","PGD","Materials"
"PERENTI LIMITED","PRN","Materials"
"PERPETUAL CREDIT INCOME TRUST","PCI","Not Applic"
"PERPETUAL EQUITY INVESTMENT COMPANY LIMITED","PIC","Not Applic"
"PERPETUAL LIMITED","PPT","Financial Services"
"PERPETUAL RESOURCES LIMITED","PEC","Materials"
"PERSEUS MINING LIMITED","PRU","Materials"
"PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","PWR","Consumer Discretionary Distribution & Retail"
"PEXA GROUP LIMITED","PXA","Real Estate Management & Development"
"PHARMX TECHNOLOGIES LIMITED","PHX","Software & Services"
"PHOSCO LTD","PHO","Materials"
"PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED","PET","Commercial & Professional Services"
"PICHE RESOURCES LIMITED","PR2","Not Applic"
"PILOT ENERGY LIMITED","PGY","Energy"
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI","Financial Services"
"PINNACLE MINERALS LIMITED","PIM","Materials"
"PIONEER CREDIT LIMITED","PNC","Financial Services"
"PIONEER MINERALS LIMITED","PMM","Materials"
"PIVOTAL METALS LIMITED","PVT","Materials"
"PLATFORMO LTD","PFM","Software & Services"
"PLATINA RESOURCES LIMITED","PGM","Materials"
"PLATO INCOME MAXIMISER LIMITED.","PL8","Not Applic"
"PLAYSIDE STUDIOS LIMITED","PLY","Media & Entertainment"
"PLENTI GROUP LIMITED","PLT","Financial Services"
"PLS GROUP LIMITED","PLS","Materials"
"PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED","PGF","Not Applic"
"PMET RESOURCES INC.","PMT","Materials"
"PO VALLEY ENERGY LIMITED","PVE","Energy"
"PODIUM MINERALS LIMITED","POD","Materials"
"POINTERRA LIMITED","3DP","Software & Services"
"POINTSBET HOLDINGS LIMITED","PBH","Consumer Services"
"POLARX LIMITED","PXX","Materials"
"POLYMETALS RESOURCES LTD","POL","Materials"
"POLYNOVO LIMITED","PNV","Health Care Equipment & Services"
"POWER MINERALS LIMITED","PNN","Materials"
"POWERHOUSE VENTURES LIMITED","PVL","Financial Services"
"PPK GROUP LIMITED","PPK","Materials"
"PRAEMIUM LIMITED","PPS","Software & Services"
"PRAIRIE LITHIUM LIMITED","PL9","Materials"
"PREDICTIVE DISCOVERY LIMITED","PDI","Materials"
"PREMIER INVESTMENTS LIMITED","PMV","Consumer Discretionary Distribution & Retail"
"PREMIER1 LITHIUM LIMITED","PLC","Materials"
"PRESCIENT THERAPEUTICS LIMITED","PTX","Pharmaceuticals, Biotechnology & Life Sciences"
"PRESTAL HOLDINGS LIMITED","PTL","Household & Personal Products"
"PRIME FINANCIAL GROUP LIMITED","PFG","Financial Services"
"PRL GLOBAL LTD","PRG","Materials"
"PRO MEDICUS LIMITED","PME","Health Care Equipment & Services"
"PRO-PAC PACKAGING LIMITED","PPG","Materials"
"PRODIGY GOLD NL","PRX","Materials"
"PROGRESS 2017-2 TRUST","POT","Not Applic"
"PROGRESS 2021-1 TRUST","POB","Not Applic"
"PROGRESS 2022-1 TRUST","POC","Not Applic"
"PROGRESS 2022-2 TRUST","POF","Not Applic"
"PROGRESS 2023-1 TRUST","POE","Not Applic"
"PROGRESS 2023-2 TRUST","POH","Not Applic"
"PROGRESS 2024-1 TRUST","POG","Not Applic"
"PROGRESS 2024-2 TRUST","PGS","Not Applic"
"PROGRESS 2025-1 TRUST","POI","Not Applic"
"PROMINENCE ENERGY LIMITED","PRM","Energy"
"PROPEL FUNERAL PARTNERS LIMITED","PFP","Consumer Services"
"PROPHECY INTERNATIONAL HOLDINGS LIMITED","PRO","Software & Services"
"PROSPECT RESOURCES LIMITED","PSC","Materials"
"PROTEOMICS INTERNATIONAL LABORATORIES LTD","PIQ","Pharmaceuticals, Biotechnology & Life Sciences"
"PROVARIS ENERGY LTD","PV1","Energy"
"PTR MINERALS LTD","PTR","Materials"
"PUMA SERIES 2023-1 TRUST","PUT","Not Applic"
"PUMA SERIES 2024-1 TRUST","PUU","Not Applic"
"PUMA SERIES 2024-2 TRUST","PS2","Not Applic"
"PUMA SERIES 2025-1 TRUST","PUV","Not Applic"
"PURE FOODS TASMANIA LIMITED","PFT","Food, Beverage & Tobacco"
"PURE ONE CORPORATION LIMITED","P1E","Energy"
"PURE RESOURCES LIMITED","PR1","Materials"
"PUREPROFILE LTD","PPL","Media & Entertainment"
"PURSUIT MINERALS LTD","PUR","Materials"
"PVW RESOURCES LIMITED","PVW","Materials"
"PWR HOLDINGS LIMITED","PWH","Automobiles & Components"
"PYC THERAPEUTICS LIMITED","PYC","Pharmaceuticals, Biotechnology & Life Sciences"
"QANTAS AIRWAYS LIMITED","QAN","Transportation"
"QBE INSURANCE GROUP LIMITED","QBE","Insurance"
"QEM LIMITED","QEM","Materials"
"QMINES LIMITED","QML","Materials"
"QNB FINANCE LTD","QNB","Not Applic"
"QORIA LIMITED","QOR","Software & Services"
"QPM ENERGY LIMITED","QPM","Materials"
"QUALITAS LIMITED","QAL","Real Estate Management & Development"
"QUALITAS REAL ESTATE INCOME FUND","QRI","Financial Services"
"QUANTUM GRAPHITE LIMITED","QGL","Materials"
"QUBE HOLDINGS LIMITED","QUB","Transportation"
"QUEENSLAND TREASURY CORPORATION","XQL","Not Applic"
"QUESTE COMMUNICATIONS LIMITED","QUE","Financial Services"
"QUICKFEE LIMITED","QFE","Financial Services"
"QX RESOURCES LIMITED","QXR","Materials"
"RACURA ONCOLOGY LTD","RAC","Pharmaceuticals, Biotechnology & Life Sciences"
"RADIOPHARM THERANOSTICS LIMITED","RAD","Pharmaceuticals, Biotechnology & Life Sciences"
"RAGNAR METALS LIMITED","RAG","Materials"
"RAGUSA MINERALS LTD","RAS","Materials"
"RAIDEN RESOURCES LIMITED","RDN","Materials"
"RAIZ INVEST LIMITED","RZI","Financial Services"
"RAM ESSENTIAL SERVICES PROPERTY FUND","REP","Equity Real Estate Investment Trusts (REITs)"
"RAM INCOME CAPITAL LTD","RAM","Not Applic"
"RAMELIUS RESOURCES LIMITED","RMS","Materials"
"RAMSAY HEALTH CARE LIMITED","RHC","Health Care Equipment & Services"
"RAND MINING LIMITED","RND","Materials"
"RANGE INTERNATIONAL LIMITED","RAN","Materials"
"RAPID CRITICAL METALS LIMITED","RCM","Materials"
"RAPTOR METALS LTD","RAP","Materials"
"RAREX LIMITED","REE","Materials"
"RAS TECHNOLOGY HOLDINGS LIMITED","RTH","Commercial & Professional Services"
"RBR GROUP LIMITED","RBR","Materials"
"REA GROUP LTD","REA","Media & Entertainment"
"REACH RESOURCES LIMITED","RR1","Materials"
"READCLOUD LIMITED","RCL","Software & Services"
"READYTECH HOLDINGS LIMITED","RDY","Software & Services"
"RECCE PHARMACEUTICALS LTD","RCE","Pharmaceuticals, Biotechnology & Life Sciences"
"RECHARGE METALS LIMITED","REC","Materials"
"RECKON LIMITED","RKN","Software & Services"
"RECTIFIER TECHNOLOGIES LTD","RFT","Capital Goods"
"RED HILL MINERALS LIMITED","RHI","Materials"
"RED METAL LIMITED","RDM","Materials"
"RED MOUNTAIN MINING LIMITED","RMX","Materials"
"RED SKY ENERGY LIMITED.","ROG","Energy"
"REDCASTLE RESOURCES LIMITED","RC1","Materials"
"REDIVIUM LIMITED","RIL","Materials"
"REDOX LIMITED","RDX","Capital Goods"
"REDSTONE RESOURCES LIMITED","RDS","Materials"
"REECE LIMITED","REH","Capital Goods"
"REEDY LAGOON CORPORATION LIMITED","RLC","Materials"
"REEF CASINO TRUST","RCT","Consumer Services"
"REGAL ASIAN INVESTMENTS LIMITED","RG8","Not Applic"
"REGAL INVESTMENT FUND","RF1","Not Applic"
"REGAL PARTNERS GLOBAL INVESTMENTS LIMITED","RG1","Not Applic"
"REGAL PARTNERS LIMITED","RPL","Financial Services"
"REGENER8 RESOURCES NL","R8R","Materials"
"REGION GROUP","RGN","Equity Real Estate Investment Trusts (REITs)"
"REGIS HEALTHCARE LIMITED","REG","Health Care Equipment & Services"
"REGIS RESOURCES LIMITED","RRL","Materials"
"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC","Capital Goods"
"REMSENSE TECHNOLOGIES LIMITED","REM","Capital Goods"
"RENASCOR RESOURCES LIMITED","RNU","Materials"
"RENEGADE EXPLORATION LIMITED","RNX","Materials"
"RENERVE LIMITED","RNV","Health Care Equipment & Services"
"RENT.COM.AU LIMITED","RNT","Media & Entertainment"
"RESIMAC GROUP LTD","RMC","Financial Services"
"RESIMAC PREMIER SERIES 2020-1","RA2","Not Applic"
"RESIMAC SERIES 2024-1NC","RA3","Not Applic"
"RESMED INC","RMD","Health Care Equipment & Services"
"RESOLUTE MINING LIMITED","RSG","Materials"
"RESOLUTION MINERALS LTD","RML","Materials"
"RESONANCE HEALTH LIMITED","RHT","Health Care Equipment & Services"
"RESOURCE BASE LIMITED.","RBX","Materials"
"RESOURCE MINERALS INTERNATIONAL LTD","RMI","Materials"
"RESOURCES & ENERGY GROUP LIMITED","REZ","Materials"
"RESOURO STRATEGIC METALS INC.","RAU","Materials"
"RETAIL FOOD GROUP LIMITED","RFG","Consumer Services"
"REVOLUTION PRIVATE CREDIT INCOME TRUST","REV","Not Applic"
"REVOLVER RESOURCES HOLDINGS LTD","RRR","Materials"
"REWARD MINERALS LTD","RWD","Materials"
"RHYTHM BIOSCIENCES LIMITED","RHY","Health Care Equipment & Services"
"RICEGROWERS LIMITED","SGL","Food, Beverage & Tobacco"
"RICHMOND VANADIUM TECHNOLOGY LIMITED","RVT","Materials"
"RIDLEY CORPORATION LIMITED","RIC","Food, Beverage & Tobacco"
"RIEDEL RESOURCES LIMITED","RIE","Materials"
"RIGHT RESOURCES LIMITED","RRE","Materials"
"RIMFIRE PACIFIC MINING LIMITED","RIM","Materials"
"RINCON RESOURCES LIMITED","RCR","Materials"
"RIO TINTO LIMITED","RIO","Materials"
"RIVCO AUSTRALIA LTD","RIV","Utilities"
"RIVERSGOLD LIMITED","RGL","Materials"
"RLF AGTECH LTD","RLF","Materials"
"RMA GLOBAL LIMITED","RMY","Media & Entertainment"
"ROBEX RESOURCES INC.","RXR","Materials"
"ROCKETBOOTS LIMITED","ROC","Software & Services"
"ROCKETDNA LTD.","RKT","Technology Hardware & Equipment"
"ROKEBY RESOURCES LIMITED","RKB","Materials"
"RONIN RESOURCES LTD","RON","Materials"
"ROOLIFE GROUP LTD","RLG","Media & Entertainment"
"ROX RESOURCES LIMITED","RXL","Materials"
"RPM AUTOMOTIVE GROUP LIMITED","RPM","Automobiles & Components"
"RTG MINING INC.","RTG","Materials"
"RUBICON WATER LIMITED","RWL","Technology Hardware & Equipment"
"RUBIX RESOURCES LIMITED","RB6","Materials"
"RUMBLE RESOURCES LIMITED","RTR","Materials"
"RURAL FUNDS GROUP","RFF","Equity Real Estate Investment Trusts (REITs)"
"RYDER CAPITAL LIMITED","RYD","Not Applic"
